date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:32	7678/7678	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Feb%202023%2014:00:34%20GMT	https://www.classcentral.com/subject/engineering	D:/test/testing/www.classcentral.com/subject/engineering	(from https://www.classcentral.com/)
16:00:32	5784/5784	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-vietnamese.woff2	(from https://www.classcentral.com/)
16:00:32	15948/15948	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-600-semibold-latin.woff2	(from https://www.classcentral.com/)
16:00:32	7662/7662	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Feb%202023%2014:00:34%20GMT	https://www.classcentral.com/subject/science	D:/test/testing/www.classcentral.com/subject/science	(from https://www.classcentral.com/)
16:00:32	6696/6696	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic-ext.woff2	(from https://www.classcentral.com/)
16:00:32	9540/9540	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-cyrillic.woff2	(from https://www.classcentral.com/)
16:00:33	7650/7650	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Feb%202023%2014:00:35%20GMT	https://www.classcentral.com/subject/education	D:/test/testing/www.classcentral.com/subject/education	(from https://www.classcentral.com/)
16:00:33	7719/7719	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Feb%202023%2014:00:35%20GMT	https://www.classcentral.com/subject/social-sciences	D:/test/testing/www.classcentral.com/subject/social-sciences	(from https://www.classcentral.com/)
16:00:33	7360/7360	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek-ext.woff2	(from https://www.classcentral.com/)
16:00:33	7691/7691	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Feb%202023%2014:00:35%20GMT	https://www.classcentral.com/subject/art-and-design	D:/test/testing/www.classcentral.com/subject/art-and-design	(from https://www.classcentral.com/)
16:00:34	14808/14808	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin-ext.woff2	(from https://www.classcentral.com/)
16:00:34	7876/7876	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Feb%202023%2014:00:36%20GMT	https://www.classcentral.com/subject/data-science	D:/test/testing/www.classcentral.com/subject/data-science.30.delayed	(from https://www.classcentral.com/)
16:00:34	8280/8280	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-greek.woff2	(from https://www.classcentral.com/)
16:00:34	5676/5676	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-vietnamese.woff2	(from https://www.classcentral.com/)
16:00:34	990/990	U-----	200	untouched ('')	image/png	date:Wed,%2008%20Feb%202023%2022:40:04%20GMT	https://www.classcentral.com/images/fade-gradient.png	D:/test/testing/www.classcentral.com/images/fade-gradient.png	(from https://www.classcentral.com/)
16:00:34	8066/8066	---MC-	429	error ('Too%20Many%20Requests')	text/html	date:Sat,%2011%20Feb%202023%2014:00:36%20GMT	https://www.classcentral.com/subject/programming-and-software-development	D:/test/testing/www.classcentral.com/subject/programming-and-software-development.31.delayed	(from https://www.classcentral.com/)
16:00:34	15764/15764	U-----	200	untouched ('')	application/octet-stream	date:Wed,%2008%20Feb%202023%2022:37:59%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	D:/test/testing/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-700-bold-latin.woff2	(from https://www.classcentral.com/)
